dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH-Norm,EGARCH_FHS,EGARCH_St,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics-Results,Weighted-Historical-Simulation
2000-04-24,-7.610432218,-7.068513051,-7.822830888,-6.914568662275047,-5.236063039797097,-7.506857571590584,-6.884517792866617,-8.706800065268766,-8.706800065268766,-8.853974517,-9.083760774,-7.2632804,-9.336205192,-5.438659192024648,-5.92988842967527,-5.931470470235319,-8.252630205836018
2000-04-25,-7.651494267,-7.076865968,-7.862920252,-6.9180291727188585,-5.176538094900971,-8.444681166167955,-7.494224467228403,-9.132903334644665,-9.132903334644665,-9.309681269,-9.308974122,-7.4750973,-9.605947548,-5.59100691657036,-5.903290580248918,-6.390615227946404,-8.77806308238328
2000-04-26,-7.76312553,-7.13022187,-7.947090799,-6.921391566199837,-5.431846146601946,-9.26190362048761,-8.176802157682175,-9.677526523765003,-9.677526523765003,-9.817117041,-9.70879493,-7.7226459,-9.948669787,-6.999684213041183,-5.931648839627402,-6.510992142576384,-9.066428976937786
2000-04-27,-7.675806906,-7.163500429,-7.951830294,-6.924867531146955,-6.700423526055691,-7.9002335755317565,-7.60431416639577,-9.390818939798498,-9.390818939798498,-9.612426005,-9.447531442,-7.5834837,-9.738418098,-7.241091843670674,-5.911847348678474,-5.926113677715976,-6.791141766063415
2000-04-28,-7.133688288,-6.613636479,-7.425401236,-6.928343490939558,-4.93489007600372,-7.892308430453496,-6.541297280536411,-8.684421668256626,-8.684421668256626,-8.965544275,-9.062902528,-7.354204,-9.412780525,-6.458877003447584,-5.9120354951297225,-5.791849112026702,-9.379693543392468
2000-05-01,-7.609321637,-7.162605786,-7.922988846,-6.931832553876517,-7.720214783576797,-7.243111414212973,-6.804662036947839,-8.894114100059703,-8.894114100059703,-9.183826411,-9.119879195,-7.3912481,-9.469034135,-6.570573293906641,-5.88890259235377,-6.128520449192025,-9.130156006262055
2000-05-02,-7.159714445,-6.710574125,-7.493647934,-6.935328297784102,-5.962243529004945,-6.718501418854569,-6.762823027347552,-8.499174530625298,-8.499174530625298,-8.787477739,-8.801162719,-7.1912095,-9.19093964,-5.7805273249603335,-5.888280497037757,-5.813352668965798,-6.80545084870599
2000-05-03,-7.215737389,-6.807977752,-7.55723885,-6.938834454481518,-7.679183448304835,-6.088650445355086,-6.153879311416665,-8.395175261969149,-8.395175261969149,-8.692053655,-8.625464021,-7.0842471,-9.037107293,-6.052117237409119,-5.908893538647471,-5.91236415101668,-8.808619872443646
2000-05-04,-7.930496719,-7.518061329,-8.222722869,-6.942344511324524,-9.839718641874857,-7.906018252042228,-6.909463680452788,-8.785643579076803,-8.785643579076803,-9.081498235,-8.861272019,-7.2265295,-9.248337421,-5.477827094745039,-5.955331567973475,-6.265042795832867,-7.888588783239822
2000-05-05,-7.507577455,-7.105024259,-7.843751967,-6.945864171764092,-6.618845387490742,-6.476822514120429,-6.487548642945272,-8.56041707204198,-8.56041707204198,-8.840858648,-8.615282348,-7.0710155,-9.033846187,-5.5976141040928304,-5.928737671031007,-5.889151137402292,-5.943044514647124
2000-05-08,-7.061420526,-6.663424577,-7.425545158,-6.9493922353792,-6.102269563486966,-5.738346142505505,-5.98133188136065,-8.173160021172507,-8.173160021172507,-8.492783511,-8.319913326,-6.8878273,-8.78017293,-6.615131124262222,-5.90508531153892,-5.824799270685555,-6.868726945304849
2000-05-09,-6.982118218,-6.558242675,-7.338147391,-6.952926182953476,-5.156158685092293,-6.450005169763265,-6.545407378186374,-8.412678876465826,-8.412678876465826,-8.707385914,-8.397624578,-6.9376293,-8.845436138,-5.908783822193773,-5.903953361547423,-6.157171815525992,-6.883832148386241
2000-05-10,-7.207179809,-6.825769306,-7.564051443,-6.956465209815232,-6.3107273281104765,-6.351315742764783,-6.608811786684415,-8.424141926791647,-8.424141926791647,-8.733215672,-8.331542786,-6.8937392,-8.77965618,-6.31604545072094,-5.92270480436097,-6.010023891378704,-8.795907808302879
