dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH-Norm,EGARCH-st,EGARCH_FHS,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics,Weighted-Historical-Simulation
2000-04-10,-7.046603748,-6.48923008,-6.620295963,-5.8135519554551545,-5.435793576276844,-7.664910462261071,-7.771794457825543,-7.179456115946331,-6.723212934,-7.179456115946331,-7.231084399,-0.070958535,-8.752205064,-7.018431287069075,-6.037227812910997,-6.694947313647573,-7.29902437554061
2000-04-11,-7.888754586,-7.268416439,-7.35404035,-5.783491039805159,-9.41675334428969,-7.791575634869424,-8.09834197376388,-7.537760389493101,-7.483269081,-7.537760389493101,-7.459725077,-0.071575252,-8.769911496,-8.674509176981115,-6.069405501201197,-6.523170363048376,-8.31144267089222
2000-04-12,-8.704145747,-8.054758081,-8.108609421,-5.782103605243819,-11.406107289027933,-8.314214776532339,-8.541912953722612,-7.855214273013375,-8.249972487,-7.855214273013375,-7.658442379,-0.073961782,-8.903751453,-5.736973034034559,-6.056667495897306,-6.577224605288549,-8.399724094331964
2000-04-13,-11.68698743,-10.90564911,-10.82430464,-5.81770779114363,-18.270417757010748,-5.467315283403378,-8.28756036603448,-9.431895970547366,-10.38987204,-9.431895970547366,-9.545051507,-0.088415551,-10.23999585,-6.4267961091494925,-6.107311227954803,-7.57761397274663,-8.667664183208213
2000-04-14,-13.01979558,-12.19535853,-12.10818588,-6.146011295049084,-18.276852134312566,-9.648595977798058,-12.18523442896846,-10.125899190081403,-11.54278724,-10.125899190081403,-10.37724922,-0.094287191,-10.9688534,-7.136317287211035,-6.206165937752115,-7.258774556805384,-9.80419497016146
2000-04-17,-14.52492503,-13.6385809,-13.54363158,-6.986409768125285,-20.07654421317297,-10.292156523582888,-13.076262198344276,-11.060881509673653,-12.76161531,-11.060881509673653,-11.47892702,-0.101935194,-11.9463029,-6.968133631318034,-6.29182414091307,-7.529001264755483,-6.512353242694879
2000-04-18,-12.84303913,-12.04154635,-12.08368035,-6.986509515072313,-9.507839780831484,-14.92826737445194,-19.97534808521163,-14.946266264250491,-11.14557248,-14.946266264250491,-17.11091191,-0.152261588,-17.06993148,-7.1536063153516585,-6.582686376178494,-11.055822350472322,-10.37812253014067
2000-04-19,-11.41753613,-10.68656798,-10.8284568,-6.985561811288055,-9.484175267574964,-12.076141638515208,-13.074493871368524,-13.36249134225084,-9.948541699,-13.36249134225084,-15.69934987,-0.160435286,-16.27712571,-6.548920101035412,-6.585595379728101,-7.10371445798775,-8.401060258374244
2000-04-20,-12.00852281,-11.21072591,-11.33877071,-6.98421590289847,-9.855118069596545,-14.701071119369306,-12.170921786341651,-12.573993627895796,-10.62451637,-12.573993627895796,-14.73743911,-0.132763754,-15.79367083,-6.544358664637027,-6.6430859879967175,-7.249368614312813,-8.385774588416986
2000-04-24,-11.07915583,-10.33719751,-10.53159608,-6.986283428419661,-10.131639030303894,-11.713094485683852,-8.356334199460196,-10.804611443429962,-10.10910348,-10.804611443429962,-13.06978749,-0.121363662,-14.85056431,-7.01099596892099,-6.635753360368765,-6.806114915143277,-11.037968074675344
2000-04-25,-10.74109979,-10.01624634,-10.23348757,-6.98072022887531,-9.697794843720208,-10.797390638141028,-7.912540773890528,-9.919749149645003,-10.05385582,-9.919749149645003,-11.92365041,-0.112363632,-14.15869808,-5.952667978231227,-6.631718101820479,-6.911577958516819,-8.109350019406136
2000-04-26,-9.642702627,-8.974747685,-9.242611054,-6.987923200433996,-6.859026603527806,-10.58675588363388,-8.709981447422733,-9.325685321247088,-9.049367137,-9.325685321247088,-10.90533203,-0.106324602,-13.6364223,-7.108904657829976,-6.615958768531325,-7.123645678160909,-10.423211539931032
2000-04-27,-8.719344107,-8.0983996,-8.396347512,-6.7216568999127695,-5.682256905081275,-12.589536981201237,-6.765120732782952,-8.240709642119711,-8.245206231,-8.240709642119711,-9.849327923,-0.097532408,-12.86716489,-7.31821630815922,-6.604706439639906,-6.764054051718116,-8.678077237207177
2000-04-28,-7.946097249,-7.363846469,-7.675824675,-6.721536203724136,-4.816463519541791,-9.960134886837132,-7.785477886776207,-8.010127886550828,-7.546324532,-8.010127886550828,-9.083192243,-0.09249164,-12.32167734,-7.081478455129614,-6.602787103769854,-7.005352667333822,-8.594520777966885
2000-05-01,-7.301199936,-6.750672928,-7.064384246,-6.721413753021376,-4.910228666618951,-9.058207641142628,-5.811387814976099,-6.964650109401995,-6.987611899,-6.964650109401995,-8.05054772,-0.08538816,-11.52569093,-7.131780029576132,-6.545988081310873,-6.715491031728252,-9.961256593720956
2000-05-02,-6.765634273,-6.241014298,-6.547305639,-6.721292419139343,-4.493166975461923,-10.14512223698186,-7.437193449092623,-6.999181854176307,-6.483518005,-6.999181854176307,-7.58697824,-0.081610014,-10.9608919,-7.869253464841981,-6.548441997987846,-6.929546245813416,-7.71192595195829
2000-05-03,-8.720423025,-8.074102976,-8.223776075,-6.721164743196776,-11.751785659629686,-7.153548095942411,-9.18084190587641,-8.284618037654289,-7.968554315,-8.284618037654289,-8.77244747,-0.084903449,-11.27031809,-6.717489557790405,-6.5713947965658335,-7.296141225167296,-10.161086305467702
2000-05-04,-8.96969211,-8.32465609,-8.463177926,-6.72104059673288,-11.6380805742298,-10.186280607350804,-8.377291616295567,-8.212109948026603,-8.390404432,-8.212109948026603,-8.453490609,-0.082309782,-10.89285026,-6.187088877195409,-6.603423300249713,-6.945615138806917,-9.551504894906625
