dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH_FHS,EGARCH_norm,EGARCH_St,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics,Weighted-Historical-Simulation
2000-03-13,-10.81091449,-10.34840518,-10.85815231,-7.018616371782915,-9.157822532201456,-6.197348642360152,-6.412341144626269,-9.849918845267633,-8.486014453452828,-9.064708972,-6.350846521,-0.054094993,-6.635950266,-9.85193905018684,-7.920714340726337,-7.396026905714095,-10.187442945134874
2000-03-14,-10.66656362,-10.20479474,-10.74397832,-7.018961740971079,-7.353075300847927,-10.023611979351893,-10.308271765141455,-10.307397371381333,-9.035222426216782,-10.09083642,-11.78536323,-0.100385056,-11.1552233,-11.454181767829049,-7.964763295832455,-8.385755663687995,-13.253386560109302
2000-03-15,-10.3722861,-9.903670255,-10.27049593,-7.019316696315556,-6.41727299771276,-9.33653600012475,-7.527591664380011,-10.076621060107712,-8.709701680314634,-9.635664518,-6.530005292,-0.054540288,-6.8130096,-8.882879302334509,-7.921329283560574,-7.434234389192945,-11.591413442114929
2000-03-16,-10.36429595,-9.901125803,-10.47450267,-7.01906096078853,-15.08347856664892,-20.50036559974462,-15.509864986580684,-11.678113493152342,-10.327071637309672,-11.81183867,-12.4593445,-0.110257835,-12.67993312,-7.81354611898193,-7.977802081506504,-10.678252301465385,-11.75692032077512
2000-03-17,-10.27533023,-9.798030301,-10.43940394,-7.019334796677509,-5.237424579434191,-20.85610120647338,-13.878847057156678,-12.54935106972795,-10.9207979538844,-12.69590726,-13.11920765,-0.114140497,-13.32034057,-8.164306550435708,-7.992391363999141,-8.825451488597107,-10.694552123382586
2000-03-20,-10.62649026,-10.20667991,-11.03543504,-7.0182800859097565,-7.932252761991968,-9.29984101738473,-6.419012137324261,-12.991405582304331,-11.04664718587855,-12.85895126,-13.39213507,-0.114664285,-13.30402916,-8.672340248936417,-8.013211098423616,-8.092641414504884,-9.920539359387089
2000-03-21,-10.8337169,-10.36751201,-11.23164836,-7.019108269618327,-8.35658503014639,-16.650367262115797,-8.775202741101428,-12.817970500722204,-10.946232626329406,-12.66756917,-13.15821331,-0.111091448,-13.06195336,-8.417150647793774,-8.03288862447746,-7.769022933757325,-10.764525086584198
2000-03-22,-10.50398687,-10.05814749,-10.72327947,-7.018104263301817,-7.669341204261047,-14.12475016819299,-7.4409937109929265,-12.281386445323902,-10.50894469076988,-12.02270294,-12.83031613,-0.10752943,-12.67882957,-7.677801512822641,-8.033725896320266,-7.582407615096431,-9.435989723220308
2000-03-23,-10.25092847,-9.808791915,-10.35478564,-7.018313508483268,-6.674415833932294,-12.284527562557992,-5.857781228471909,-11.982712561758678,-10.28179286500491,-11.69108537,-12.54890205,-0.059895201,-12.37060352,-8.506529915604514,-8.03179117777371,-7.659567630914443,-10.477121764501064
2000-03-24,-9.971581167,-9.533422345,-9.929905341,-7.018202066292656,-7.144134196504783,-10.508924833311603,-6.695839181111166,-11.620222861117712,-9.941297517112195,-11.19445596,-6.7900307,-0.055336841,-6.810671281,-7.244525840629569,-8.028231335383618,-7.597914612556901,-12.955800868998782
2000-03-27,-9.763482304,-9.32768109,-9.576251033,-7.017815875455934,-6.456719156794823,-8.990459705652741,-5.936682374938145,-11.216317457109849,-9.568603345687348,-10.62648067,-6.586760911,-0.05341019,-6.696542425,-9.005426529698603,-8.031795285437367,-7.586089533464227,-14.51459756071486
